Origin_Country,2015_TB,2016_TB,2017_TB,2018_TB,2019_TB,2020_TB,2021_TB,2022_TB,2015_Pop,2016_Pop,2017_Pop,2018_Pop,2019_Pop,2020_Pop,2021_Pop,2022_Pop
Azerbaijan,3.802274922,3.863540109,4.183103546,4.175262662,4.429650001,3.982180055,4.787437452,4.944185251,205,275,300,495,630,365,820,710
Mongolia,21.75907852,23.53430581,25.46029608,25.62044327,28.09976245,24.86881941,28.1877912,30.2889627,205,305,275,290,275,190,405,465
Kuwait,1.348885549,1.574592757,1.883134181,1.526936179,1.571908348,1.401315497,1.675154101,1.105377692,215,265,295,250,325,255,440,510
Niger,5.020724941,5.292405369,5.470695848,5.351753194,5.669161661,5.266838076,5.552315515,5.296520326,215,240,175,220,240,205,310,305
Macau,0.264843704,0.251932878,0.249407657,0.254576583,0.211446771,0.210154551,0.134186115,0.111986242,235,245,250,285,255,180,180,185
Zambia,19.93181908,20.62569701,21.49269528,20.71235456,21.90084192,19.77417547,20.89111555,19.77823627,235,220,250,235,260,185,285,320
Uzbekistan,4.244113087,4.395796271,4.520200954,4.357806618,4.528938779,4.209974222,4.998812631,5.661556549,240,265,225,235,200,140,200,250
Macedonia,1.148104452,1.068580625,0.904662025,0.9534394,0.926560948,0.834970682,0.875115093,0.836203555,260,195,140,205,175,85,180,175
Bosnia and Herzegovina,2.310620328,2.021746082,1.88110985,1.695770492,1.911666003,1.734186939,1.844207356,1.705303965,265,225,175,240,185,120,215,185
Latvia,2.321890273,2.326167021,2.157409929,1.878003573,1.774347609,1.366321423,1.200718816,1.379416083,275,310,275,245,255,120,165,195
Madagascar,12.03526501,13.01134899,14.09512939,14.19065478,15.56703374,14.77580485,16.27569606,16.07076394,280,360,385,430,475,420,780,995
Fiji,2.936750255,2.698500484,3.220608014,3.382919347,4.463817911,4.169110837,4.542486062,4.472423392,285,250,220,205,200,105,130,150
Belarus,2.864326778,2.746539722,2.591306578,2.171893051,2.220186389,1.973561306,2.158100658,2.149429575,310,455,415,375,400,220,365,480
Kosovo,0.34936829,0.282781802,0.199526125,0.272441606,0.19486271,0.239342683,0.212461349,0.154359415,310,275,200,305,235,205,285,255
Guatemala,1.679686593,1.605441681,1.820312522,1.857749985,1.995801679,1.830491933,2.15011763,2.113506065,330,295,350,355,365,255,535,640
"Congo, People's Republic of the",19.44092849,20.92443987,22.46017897,22.59155241,24.63005711,23.14040673,25.30235053,24.85743195,335,405,335,415,410,285,510,595
Armenia,2.915041529,2.808774164,2.41274523,2.069169166,1.917027391,1.684551273,1.833025179,1.835251962,355,410,295,260,270,130,200,290
Costa Rica,0.953373909,0.936730235,1.023828541,0.994519111,1.098978315,0.998099073,1.184224515,1.136040596,355,415,460,450,540,335,685,780
Cambodia,18.81521414,19.30196394,19.68445607,18.51870276,19.00893236,17.39179021,19.19227649,21.48334205,360,410,325,300,385,245,265,395
